idVaga,NomeVaga,Cidade,UF,Salario,QuantidadeVaga,DataPesquisa,Perfil,Descricao,DataPubli
15176484,Estatístico,São Paulo,SP,A Combinar,1,2019-08-28,Profissional,Construção e manutenção de modelos (Renovação; prospecção). Formular e analisar hipóteses que ajudem os clientes internos a tomarem decisões estratégicas. Pesquisar novas técnicas e metodologias em modelagem e testar sua aplicação no negócio Conhecimentos avançados em SQL; Python é um diferencial. Domínio no desenvolvimento de modelos preditivos e segmentação (Logística; Multivariada; GLM; XGBoost; Randon Forest; SVM; Cluster; Rede Neural; series temporais). Manipulação de dados não estruturados (Textos; vídeos e áudio).,2019-08-23T20:59:59-0300
15177346,Assistente de Estatística,Caxias do Sul,RS,A Combinar,1,2019-08-28,Profissional,Irá analisar e executar tarefas de tabulação de dados; gráficos e projetar resultados. Construir indicadores; calcular índices; executar outras tarefas pertinentes à área de atuação. Ensino Superior em andamento em Matemática / Estatística/ Administração; conhecimentos desejáveis em elaboração de banco de dados e planilhas Pacote Office; especialmente conhecimento em Excel; experiência na elaboração de planilhas; banco de dados e interpretação de dados numéricos,2019-08-21T20:59:59-0300
15225715,Estatístico,São Paulo,SP,A Combinar,1,2019-08-28,Profissional,O profissional será responsável pelas seguintes atividades: Realizar cálculos estatísticos a partir de dados educacionais oficiais e dados coletados em pesquisas; avaliações e plataformas educacionais.  Acompanhar e validar análises estatísticas realizadas por fornecedores.  Realizar com autonomia e assertividade as principais etapas do processo de análise de dados: captura e manipulação; tratamento e higienização; exploração e análises descritivas; interpretação e apresentação dos resultados. *Formação: Estatística; Matemática; Economia; Engenharia; Tecnologia ou áreas afins. Mestrado é um diferencial.*Conhecimentos Técnicos: Habilidades de captura; manipulação; tratamento e higienização de dados; Necessário conhecimento em ferramentas de bancos de dados (SQL); Excel avançado e programas de pacotes estatísticos; Desejável experiência com modelos e ferramentas de machine learning (R e/ou Python); Desejável vivência com análise de dados educacionais; preferencialmente com avaliação educacional por meio da Teoria da resposta ao Item (TRI).,2019-07-16T20:59:59-0300
15245529,Estatístico,Porto Alegre,RS,"R$ 4.000,00",1,2019-08-28,Profissional,Analisar as amostras dos jornais e da carteira; comparando-as mês a mês e descrevendo as informações relevantes relacionadas à sua variação. Pesquisar os endereços das amostras no programa específico para tal finalidade. Lançar as ofertas das fontes nos programas pertinentes. Verificar as distorções de lançamentos (bairros); duplicidades e divergências de diversas formas. Excluir os imóveis novos para venda da pesquisa de comercialização conforme metodologia aplicada. Importar as ofertas oriundas dos sites. Analisar os extratos enviados pelas empresas participantes quanto à concordância da amostra com mês anterior e classificá-los por rubricas conforme metodologia. Lançar as despesas de condomínios no Excel; conferir com a amostra enviada pela imobiliária e fazer o texto. Controlar e solicitar materiais para o setor. Inserção de indicadores em planilhas de controle e SA. Manter planilhas; listas e códigos de trabalho em dia. Atendimento de telefone e de emails pertinentes ao setor. Fazer a conferência de todo o material (pesquisas e tabelas) desenvolvidas pelo setor. Experiência com indicadores econômicos; estatísticos e pesquisa de mercado. Ensino Superior em Economia ou Estatística. Conhecimento em Excel avançado.,2019-07-19T20:59:59-0300
15255189,Estatístico,Manaus,AM,A Combinar,1,2019-08-28,Profissional,Analisar e processar dados e construir instrumentos de coleta de dados. Criar banco de dados; desenvolver sistema de codificação de dados e planejar pesquisa. Ensino Superior cursando a partir do 6º período de Estatística. Conhecimento em Tecnologia.,2019-07-23T20:59:59-0300
15302660,Estatístico,Guarulhos,SP,A Combinar,1,2019-08-28,Profissional,Analisar resultados e dados de processo produtivo-plano de amostragem para validação de processos e dados de controle de qualidade de produtos farmacêuticos; visando melhores entendimentos; investigações; redução de desvios e consequentemente aumento de confiabilidade analítica;Atuar em ferramentas e calcular limites de gráficos de tendência dos estudos em desenvolvimento. Avaliar tendências e riscos de resultados fora dos limites esperados nos estudos de estabilidade.Auxiliar na elaboração de DOE com objetivo de melhorar robustez dos métodos analíticos/ desenvolvimento de produtos. Superior Completo em Estatística ou Matemática.Desejável Pós-graduação na área.Inglês Intermediário/ Avançado.,2019-07-31T20:59:59-0300
15315110,Estatístico Trainee,Goiania,GO,"De R$ 1.001,00 a R$ 2.000,00",1,2019-08-28,Profissional,Auxiliar na análise de custo de mercadoria e produtos; envolvendo a aplicação de custos diretos e/ou descontos especiais; formação de preço de venda; impostos recuperáveis e não recuperáveis e participa na definição de política. Auxilia na elaboração de relatórios sobre pesquisa de mercado e desempenho de preços. Ensino Superior em Estatística; Economia; Matemática e Engenharia.,2019-08-05T20:59:59-0300
15364996,Estatístico,Belo Horizonte,MG,A Combinar,1,2019-08-28,Profissional,"Planejar; organizar e realizar pesquisas e análises estatísticas. Identificar objeto de pesquisa; programar e coordenar as fases do trabalho de coleta de dados e organizar cronograma de cumprimento dos prazos. Planejar e executar tarefas de tabulação dos dados estatísticos; codificação e concentração de dados em quadros; gráficos e outras outras formas de exposição. Analisar e interpretar os dados estatísticos e determinação dos fenômenos. Fazer relatório de análise e redigir informações sobre questões de metodologia; planejamento; execução e resultado das investigações. Apresentar os resultados de pesquisa. Ensino Superior em Estatística. Conhecimento no pacote MS Office. Conhecimento software SPSS. Conhecimento Microsoft ACCESS. Conhecimento do software ""R"" avançado.",2019-08-14T20:59:59-0300
15373912,Estatístico,Campinas,SP,"De R$ 4.001,00 a R$ 5.000,00",1,2019-08-28,Profissional,Desenvolvimento de estudos e análises de alta complexidade. Compreensão e desenvolvimento de modelos preditivos. Construção de indicadores. Análise e estudos em bases específicas conforme demanda. Acompanhamento de dados qualitativos e quantitativos. Manipulação e extração de base de dados. Desenvolvimento de relatórios em ferramentas de visualização de dados. Automatização e aprimoramento de processos. Graduação Superior completa em Estatística. Experiência com manipulação dados. Experiência em trabalhar com grandes volumes de dados. Domínio em Software. Domínio em Excel.,2019-08-15T20:59:59-0300
15411355,Estatístico - Dados,São Paulo,SP,"R$ 3.200,00",1,2019-08-28,Profissional,As principais atividades desenvolvidas são paginação de cadernos; elaboração e utilização de planilhas em Excel; criação de formulários e atualização e adição de informação no MS Access. Elaboração de cartazes em CorelDraw. Formatação de documentos; impressão de listas e suporte a computadores da empresa. Necessário bons conhecimentos em MS Excel e MS Access e MS Word. Ensino Superior concluído ou cursando a área de estatística ou correlatos.,2019-08-23T20:59:59-0300
