idVaga,NomeVaga,Cidade,UF,Salario,QuantidadeVaga,DataPesquisa,Perfil,Descricao,DataPubli,Pesquisa
15176484,Estatístico,São Paulo,SP,A Combinar,1,2019-09-18,Profissional,Construção e manutenção de modelos (Renovação; prospecção). Formular e analisar hipóteses que ajudem os clientes internos a tomarem decisões estratégicas. Pesquisar novas técnicas e metodologias em modelagem e testar sua aplicação no negócio Conhecimentos avançados em SQL; Python é um diferencial. Domínio no desenvolvimento de modelos preditivos e segmentação (Logística; Multivariada; GLM; XGBoost; Randon Forest; SVM; Cluster; Rede Neural; series temporais). Manipulação de dados não estruturados (Textos; vídeos e áudio).,2019-08-23T20:59:59-0300,Estatístico
15225715,Estatístico,São Paulo,SP,A Combinar,1,2019-09-18,Profissional,O profissional será responsável pelas seguintes atividades: Realizar cálculos estatísticos a partir de dados educacionais oficiais e dados coletados em pesquisas; avaliações e plataformas educacionais.  Acompanhar e validar análises estatísticas realizadas por fornecedores.  Realizar com autonomia e assertividade as principais etapas do processo de análise de dados: captura e manipulação; tratamento e higienização; exploração e análises descritivas; interpretação e apresentação dos resultados. *Formação: Estatística; Matemática; Economia; Engenharia; Tecnologia ou áreas afins. Mestrado é um diferencial.*Conhecimentos Técnicos: Habilidades de captura; manipulação; tratamento e higienização de dados; Necessário conhecimento em ferramentas de bancos de dados (SQL); Excel avançado e programas de pacotes estatísticos; Desejável experiência com modelos e ferramentas de machine learning (R e/ou Python); Desejável vivência com análise de dados educacionais; preferencialmente com avaliação educacional por meio da Teoria da resposta ao Item (TRI).,2019-08-30T20:59:59-0300,Estatístico
15255189,Estatístico,Manaus,AM,A Combinar,1,2019-09-18,Profissional,Analisar e processar dados e construir instrumentos de coleta de dados. Criar banco de dados; desenvolver sistema de codificação de dados e planejar pesquisa. Ensino Superior cursando a partir do 6º período de Estatística. Conhecimento em Tecnologia.,2019-07-23T20:59:59-0300,Estatístico
15302660,Estatístico,Guarulhos,SP,A Combinar,1,2019-09-18,Profissional,Analisar resultados e dados de processo produtivo-plano de amostragem para validação de processos e dados de controle de qualidade de produtos farmacêuticos; visando melhores entendimentos; investigações; redução de desvios e consequentemente aumento de confiabilidade analítica;Atuar em ferramentas e calcular limites de gráficos de tendência dos estudos em desenvolvimento. Avaliar tendências e riscos de resultados fora dos limites esperados nos estudos de estabilidade.Auxiliar na elaboração de DOE com objetivo de melhorar robustez dos métodos analíticos/ desenvolvimento de produtos. Superior Completo em Estatística ou Matemática.Desejável Pós-graduação na área.Inglês Intermediário/ Avançado.,2019-07-31T20:59:59-0300,Estatístico
15315110,Estatístico Trainee,Goiania,GO,"De R$ 1.001,00 a R$ 2.000,00",1,2019-09-18,Profissional,Auxiliar na análise de custo de mercadoria e produtos; envolvendo a aplicação de custos diretos e/ou descontos especiais; formação de preço de venda; impostos recuperáveis e não recuperáveis e participa na definição de política. Auxilia na elaboração de relatórios sobre pesquisa de mercado e desempenho de preços. Ensino Superior em Estatística; Economia; Matemática e Engenharia.,2019-08-05T20:59:59-0300,Estatístico
15364996,Estatístico,Belo Horizonte,MG,A Combinar,1,2019-09-18,Profissional,"Planejar; organizar e realizar pesquisas e análises estatísticas. Identificar objeto de pesquisa; programar e coordenar as fases do trabalho de coleta de dados e organizar cronograma de cumprimento dos prazos. Planejar e executar tarefas de tabulação dos dados estatísticos; codificação e concentração de dados em quadros; gráficos e outras outras formas de exposição. Analisar e interpretar os dados estatísticos e determinação dos fenômenos. Fazer relatório de análise e redigir informações sobre questões de metodologia; planejamento; execução e resultado das investigações. Apresentar os resultados de pesquisa. Ensino Superior em Estatística. Conhecimento no pacote MS Office. Conhecimento software SPSS. Conhecimento Microsoft ACCESS. Conhecimento do software ""R"" avançado.",2019-08-14T20:59:59-0300,Estatístico
15373912,Estatístico,Campinas,SP,"De R$ 5.001,00 a R$ 6.000,00",1,2019-09-18,Profissional,Desenvolvimento de estudos e análises de alta complexidade. Compreensão e desenvolvimento de modelos preditivos. Construção de indicadores. Análise e estudos em bases específicas conforme demanda. Acompanhamento de dados qualitativos e quantitativos. Manipulação e extração de base de dados. Desenvolvimento de relatórios em ferramentas de visualização de dados. Automatização e aprimoramento de processos. Graduação Superior completa em Estatística. Experiência com manipulação dados. Experiência em trabalhar com grandes volumes de dados. Domínio em Software. Domínio em Excel.,2019-09-10T20:59:59-0300,Estatístico
15411355,Estatístico - Dados,São Paulo,SP,"R$ 3.200,00",1,2019-09-18,Profissional,As principais atividades desenvolvidas são paginação de cadernos; elaboração e utilização de planilhas em Excel; criação de formulários e atualização e adição de informação no MS Access. Elaboração de cartazes em CorelDraw. Formatação de documentos; impressão de listas e suporte a computadores da empresa. Necessário bons conhecimentos em MS Excel e MS Access e MS Word. Ensino Superior concluído ou cursando a área de estatística ou correlatos.,2019-08-23T20:59:59-0300,Estatístico
15512432,Estatístico Júnior,Belo Horizonte,MG,A Combinar,1,2019-09-18,Profissional,Elaborar programação nos pacotes estatísticos provendo resultados e indicadores solicitados. Realizar compilação e extração de dados específicos. Dar suporte a equipe técnica nos projetos. Gerar relatórios das análises feitas do Banco de Dados. Efetuar os seguintes estudos: Cálculos de análise de reajuste dos contratos coletivos das operadoras de planos de saúde. Diagnóstico de Carteira avaliando indicadores estatísticos das Operadora. Estudos de projeção do aumento dos custos assistenciais. Acompanhar os indicadores divulgados no mercado e pela ANS. Pesquisas e desenvolvimento para a execução de trabalhos técnicos. Ensino Superior em Estatística. Conhecimento em SQL; Conhecimento com pacotes estatísticos; tal como SAS; STATA ou R. Compreender os resultados disponibilizados pela extração no Banco de Dados. Conhecimento intermediário do MS Office (Word; Excel; Access e PowerPoint). Habilidade em raciocínio lógico e analítico. Ser dinâmico sabendo operar com diversas tarefas. Boa redação e oratória.,2019-09-16T20:59:59-0300,Estatístico
15526529,Estatístico (Analista Estatístico Atuário Pleno),São Paulo,SP,"De R$ 7.001,00 a R$ 8.000,00",1,2019-09-18,Profissional,Desenvolver e analisar resultados clínicos e financeiros; criar e revisar o desempenho do modelo preditivo para identificar sua eficiência e recomendar melhorias. Identificar e avaliar oportunidades para clientes existentes e em potencial. Incorporar; codificar ou manipular dados de acordo com os requisitos do contrato. Extrair informação dos bancos de dados. Oferecer apoio às atividades de data mining e modelagem preditiva. Escrever códigos precisos para realização de procedimentos estatísticos. Realizar testes estatísticos. Analisar os resultados. Criar novas variáveis a partir de dados existentes. Verificar a exatidão e qualidade de dados novos e existentes. Identificar duplicidade e imprecisões. Responsável pela validação de especificações e credibilidade dos relatórios de dados. Preparar relatórios; apresentações; tabelas; gráficos e slides para explicar resultados de pesquisas. Superior completo em Matemática; Ciência da Computação; Estatística; Ciências Atuariais ou áreas relacionadas. Mestrado na área da saúde ou negócio (diferencial). Atuação avançada em R; Python; SAS ou outros softwares de análise estatística. Experiência com data mining e modelo preditivo. Experiência em metodologias de limpeza e validação de dados. Experiência em estatística; analítica ou atuarial. Conhecimento em criação de novas variáveis a partir de dados detalhados. Compreensão de estatística e matemática; incluindo capacidade de usar lógica e construir funções e equações. Conhecimento sobre conversão de dados entre formulários para análise. Atuação em análise de dados médicos; pesquisa clínica; economia na área da saúde ou triagem clínica (diferencial). Atuação internacional (diferencial). Inglês intermediário ou avançado.,2019-09-17T20:59:59-0300,Estatístico
15177346,Assistente de Estatística,Caxias do Sul,RS,A Combinar,1,2019-09-18,Profissional,Irá analisar e executar tarefas de tabulação de dados; gráficos e projetar resultados. Construir indicadores; calcular índices; executar outras tarefas pertinentes à área de atuação. Ensino Superior em andamento em Matemática / Estatística/ Administração; conhecimentos desejáveis em elaboração de banco de dados e planilhas Pacote Office; especialmente conhecimento em Excel; experiência na elaboração de planilhas; banco de dados e interpretação de dados numéricos,2019-08-21T20:59:59-0300,Estatístico
15260074,Estatístico - Cientista de Dados,Curitiba,PR,A Combinar,1,2019-09-18,Profissional,Definição de regras associativas. Modelos de classificação. Análise exploratória. Mineração de dados. Conhecimento em R ou Python. Excel avançado.,2019-07-23T20:59:59-0300,Estatístico
15323314,Instrutor de Estatistica,Diadema,SP,A Combinar,1,2019-09-18,Profissional,Ministrar aulas de estatística para turmas de administração; participação para reuniões pedagógicas e realizar visitas técnicas. Ensino Superior em Estatística ou Administração.,2019-08-06T20:59:59-0300,Estatístico
15363792,Analista de Estatística,Barueri,SP,A Combinar,1,2019-09-18,Profissional,Análise e pesquisa de mercado; elaboração de indicadores de desempenho dos setores; coleta de dados (econômicos/concorrentes/melhorias/déficits); planos de ação e controller. Com experiencia em toda rotina de estudo. Conhecimento no Sistema SAP; PROTHEUS; DATASUL; TOTVS; MICROSIGA; ERP  algum sistema. Excel avançado. Ensino superior de áreas relacionadas. Ramo de peças automotivas  parte elétrica e iluminação.,2019-08-13T20:59:59-0300,Estatístico
