idVaga,NomeVaga,Cidade,Salario,QuantidadeVaga,DataPesquisa,Perfil,Descricao,Empresa,DataPubli
v1927723,Analista de Estatística,Barueri,Salário a combinar,1,2019-08-20,Pleno,Ensino Superior completo em Estatística ou Engenharia PósGraduação completo em Ciência de Dados e/ou Tecnologia e Sistemas da InformaçãoCURSOS: Ciência de DadosBig Data Tableau ou Power BI Programação SQL Microsoft OfficeExcel.·         Garantir a qualidade dos registros de dados e resultados da operação jurídica·         Analisar os dados e resultados aplicando visão estratégica e incremento de melhorias·         Mapear comportamentos e probabilidades registrando os desvios e atuando como apoio do gestor para plano de ação se necessário·         Identificar e estabelecer targets e KPIs·         Liderar a implantação de PDCA com as equipes·         Garantir a correta apuração do Balanced Score Card Operacional e Estratégico registrando críticas e desvios dos resultados desalinhados com indicadores de clientes·         Aplicar conceitos do Six Sigma para correção e manutenção de inconformidades·         Gerir debates e reuniões com as equipes a fim de provocar mudanças e ideias que agreguem valor ao negócio do cliente,Confidencial,22/07/2019
v1885455,Estágio - Estatística,Belo Horizonte,Salário a combinar,1,2019-08-20,Estágio,ATRIBUIÇÕES DO CARGO:Auxiliar nos programas de monitoramento do Projeto Básico Ambiental da UHE Belo Monte e em outros projetos de licenciamento ambiental.Realizar atividades relacionadas à compilação atualização e gestão de planilhas e banco de dados específicos dos referidos programas ambientais.Apoio na elaboração das análises dos relatórios técnicos desenhos gráficos tabelas e mapas (AutoCad e/ou Gis) relacionados à demandas em processos de licenciamento ambiental incluindo o desenvolvimento e modificação de sintaxes e algoritmos.    COMPETÊNCIAS NECESSÁRIAS: Conhecimento em Excel R (intermediário) e AccessBons conhecimentos nos demais programas do Pacote OfficeDesejável conhecimento avançado do RCursando Estatística 3º anoOUTRAS INFORMAÇÕES:Todas as nossas vagas estão disponíveis também para candidatos com deficiência ou beneficiários reabilitados pelo INSS.,Tractebel,06/05/2019
v1917776,Analista de Modelagem Estatística Sênior,Barueri,Salário a combinar,1,2019-08-20,Sênior,Principais Atividades:Desenvolvimento de modelos estatísticos para todo o ciclo de crédito (Propensão Concessão e Recuperação)Avaliação de novas técnicas estatísticas para melhores resultadosApresentação para clientes de resultados.Para atuação nesta área e protagonizar sua carreira além de pensamento inovador você precisará de:Sólidos conhecimentos em técnicas de Machine LearningConhecimento em SAS R ou PythonVivência em Regressão Logística. Formação necessária para estas posições:Matemática Estatística Ciência da Computação ou Engenharia. Remuneração Benefícios e Vantagens:A Boa Vista SCPC oferece um programa de benefícios flexíveis e você poderá distribuílos de acordo com suas necessidades:Remuneração compatível com o mercadoJornada de 40 horas semanais em horário flexívelTrabalho em jornada flexívelParticipação nos Resultados (PPR)Assistência MédicaAssistência OdontológicaValeRefeição/AlimentaçãoTransporte fretado para diversas regiões conforme disponibilidade/Vale transportePrevidência Privada com coparticipação da Boa VistaSeguro de vidaConvênio farmáciaConvênio SESCWifi liberado em todas as áreasDayoff no dia do seu aniversário + ingresso para cinema​Espaços exclusivos para refeições lazer e descanso com rede bebidas quentes frigobar televisão video game mesa de sinuca pingpong e outros jogosAmbulatório com consultas assistenciais para dependentes legais incluindo campanhas de vacinas sazonaisPAE – Programa de Assistência ao Empregado e Familiares com atendimento de equipe multidisciplinar por telefone composta por Assistente Social Psicólogos Advogados e Nutricionistas 24 horas por dia 7 dias da semana sem qualquer custo.,Boa Vista SCPC,03/07/2019
v1934964,Consultor Sênior - Marketing Estratégico - Modelagem e Domínio Estatístico,Rio de Janeiro,Salário a combinar,1,2019-08-20,Sênior,Descrição das atividades Definição de portfólio e estratégia para aquisição dos clientes prépago  Responsável por projetos de melhoria de jornada do cliente Gestão das ofertas do portfólio pré pago Mapear oportunidades de aumento de receita e recargaConhecimento e Experiência desejávelDomínio estatístico modelagem análise de regressão modelo preditivo montar cenáriosCapacidade analítica Experiência no mercado de TelecomFormação desejávelEngenharia de produção Estatística AdministraçãoEscolaridade MínimaSuperior CompletoEmpresa e Local de TrabalhoM300 TIM S.A.RJ Rio de Janeiro,TIM Brasil,Há 7 dias
v1941042,Estágio em Engenharia ou Estatística - Gestão Operacional e Qualidade,Paulínia,R$ 1.530 a R$ 1.750,1,2019-08-20,Estágio,.Requisitos obrigatórios: Cursando Penúltimo Ano de Engenharia ou Estatística   Inglês Intermediário / Avançado Domínio do Pacote Office com Excel Avançado .Atividades do Estagiário: Treinamento em ISO 9001 ISO 14001 Excelência e Seis Sigma (noções básicas) e participação em auditorias internas.Suporte à implementação do Plano anual de Excelência/Qualidade.Desenvolvimento e manutenção de ferramentas que auxiliam a medição de indicadores críticos para Qualidade e Excelência (Flash Qualidade BSC Vazamentos Horas Extras entre outros).Atuar nos projetos na área de Excelência.,Willisa,Há 6 dias
v1934956,"Consultor - Banco de Dados, Indicadores e Modelos - Foco em Estatística",Rio de Janeiro,Salário a combinar,1,2019-08-20,Júnior/Trainee,Descrição das atividadesCriação e manutenção de relatórios gerenciais e painéis de indicadoresGeração de bases de dados para realização de Análises Realização de análises de comportamento de clientes.Conhecimento e Experiência desejávelExperiência em Banco de Dados para extração de informação e construção de relatórios e dashboards. Possuir bom conhecimento em Excel e em SAS Enterprise Guide. Conhecimento em BIG DATA será considerado um diferencialExperiência em geração de indicadores e extração de dados Importante: ser flexível à mudanças de escopo de trabalho ter senso de urgência e comprometimento com prazos possuir forte espírito de equipe e colaboração.Formação desejávelGraduado em Estatística Ciência da Computação Análise de Sistemas Sistemas de Informação ou Tecnologia da Informação.Escolaridade MínimaSuperior CompletoEmpresa e Local de TrabalhoM300 TIM S.A.RJ Rio de Janeiro,TIM Brasil,Há 7 dias
v1940106,Analista de Risco,Fortaleza,Salário a combinar,2,2019-08-20,Pleno,REQUISITOS Ensino superior completo em Estatística Economia Engenharia Matemática e áreas afins Pacote office avançado conhecimento em VBA SPSS Python Power BI e R Organizado(a) com senso de urgência perfil analítico e visão crítica.ATIVIDADES Responsável pela identificação desenvolvimento e implantação das estratégias de Modelos Estatísticos Construção de Banco de Dados que permitam evoluir no processo de desenvolvimento e Gestão dos Modelos EstatísticosTrabalhar com os Fornecedores e Pares para o desenvolvimento de: Credit Scores Behaviour Scores e Collection Score Avaliar continuamente os resultados dos Modelos Estatísticos incluindo riscos e oportunidades Monitoramento dos Modelos Estatísticos através de  MIS Entre outras atividades.,Fortbrasil,Há 7 dias
v1939529,Analista de Modelagem de Crédito Sr,São Paulo,Salário a combinar,1,2019-08-20,Sênior,REQUISITOS: Formação Superior em Estatística/Matemática/Física/Economia/ Administração de Empresas. Desejável Pósgraduação Experiência em instituições financeiras com criação de modelos estatísticos de crédito Pessoa Física Mensuração e analise de resultados Estudos comportamentais de clientes.,CV Consult,12/08/2019
v1921628,Analista Sr. de Dados (Foco em Pricing),São Paulo,Salário a combinar,1,2019-08-20,Sênior,Prérequisitos:• Graduação completa: Preferencialmente em Estatística Matemática ou Ciências da Computação. • Mandatório experiência com softwares R Alteryx e Tableau.• Necessário conhecimento em estatística avançada.• Necessário Excel avançado. • Inglês intermediário Desejável.• Imprescindível ter experiência prévia em manipulação e análise de dados. Atividades inerentes ao cargo:• Essa função irá apoiar o time de Pricing na tomada de decisão através de manipulação das bases de dados e modelagem estatística.• Responsável por fazer o tratamento dos dados que serão analisadas pelo time de Pricing.• Modelagem estatística de preços e efetividade promocional realizadas através dos softwares R Alteryx e Tableau.• Operacionalização de mudanças nos scripts da programação dos softwares requeridas pelo time de Pricing. *Diversidade e igualdade andam lado a lado na Avon. Esta vaga também destinase a pessoas com deficiência.,Avon,10/07/2019
v1929136,Cientista de Dados (Analista de Dados),Uberlândia,Salário a combinar,1,2019-08-20,Pleno,Requisitos:• Superior em Estatística Matemática Análise de Sistemas  Sistemas de Informação Ciência da Computação Gestão da Informação ou áreas correlatas • Experiência em banco de dados – SQL e com modelagem estatística (Machine Learning)• Experiência em linguagens de programação (preferencialmente  R e Python).• Experiência em tratamento manipulação e qualificação de dados. * Todas as vagas do Martins são também disponibilizadas para Pessoas com Deficiência,Martins S/A,24/07/2019
