idVaga,NomeVaga,Cidade,UF,Salario,QuantidadeVaga,DataPesquisa,Perfil,Descricao,DataPubli,Pesquisa
15176484,Estatístico,São Paulo,SP,A Combinar,1,2019-09-16,Profissional,Construção e manutenção de modelos (Renovação; prospecção). Formular e analisar hipóteses que ajudem os clientes internos a tomarem decisões estratégicas. Pesquisar novas técnicas e metodologias em modelagem e testar sua aplicação no negócio Conhecimentos avançados em SQL; Python é um diferencial. Domínio no desenvolvimento de modelos preditivos e segmentação (Logística; Multivariada; GLM; XGBoost; Randon Forest; SVM; Cluster; Rede Neural; series temporais). Manipulação de dados não estruturados (Textos; vídeos e áudio).,2019-08-23T20:59:59-0300,estatístico
15177346,Assistente de Estatística,Caxias do Sul,RS,A Combinar,1,2019-09-16,Profissional,Irá analisar e executar tarefas de tabulação de dados; gráficos e projetar resultados. Construir indicadores; calcular índices; executar outras tarefas pertinentes à área de atuação. Ensino Superior em andamento em Matemática / Estatística/ Administração; conhecimentos desejáveis em elaboração de banco de dados e planilhas Pacote Office; especialmente conhecimento em Excel; experiência na elaboração de planilhas; banco de dados e interpretação de dados numéricos,2019-08-21T20:59:59-0300,estatístico
15225715,Estatístico,São Paulo,SP,A Combinar,1,2019-09-16,Profissional,O profissional será responsável pelas seguintes atividades: Realizar cálculos estatísticos a partir de dados educacionais oficiais e dados coletados em pesquisas; avaliações e plataformas educacionais.  Acompanhar e validar análises estatísticas realizadas por fornecedores.  Realizar com autonomia e assertividade as principais etapas do processo de análise de dados: captura e manipulação; tratamento e higienização; exploração e análises descritivas; interpretação e apresentação dos resultados. *Formação: Estatística; Matemática; Economia; Engenharia; Tecnologia ou áreas afins. Mestrado é um diferencial.*Conhecimentos Técnicos: Habilidades de captura; manipulação; tratamento e higienização de dados; Necessário conhecimento em ferramentas de bancos de dados (SQL); Excel avançado e programas de pacotes estatísticos; Desejável experiência com modelos e ferramentas de machine learning (R e/ou Python); Desejável vivência com análise de dados educacionais; preferencialmente com avaliação educacional por meio da Teoria da resposta ao Item (TRI).,2019-08-30T20:59:59-0300,estatístico
15255189,Estatístico,Manaus,AM,A Combinar,1,2019-09-16,Profissional,Analisar e processar dados e construir instrumentos de coleta de dados. Criar banco de dados; desenvolver sistema de codificação de dados e planejar pesquisa. Ensino Superior cursando a partir do 6º período de Estatística. Conhecimento em Tecnologia.,2019-07-23T20:59:59-0300,estatístico
15302660,Estatístico,Guarulhos,SP,A Combinar,1,2019-09-16,Profissional,Analisar resultados e dados de processo produtivo-plano de amostragem para validação de processos e dados de controle de qualidade de produtos farmacêuticos; visando melhores entendimentos; investigações; redução de desvios e consequentemente aumento de confiabilidade analítica;Atuar em ferramentas e calcular limites de gráficos de tendência dos estudos em desenvolvimento. Avaliar tendências e riscos de resultados fora dos limites esperados nos estudos de estabilidade.Auxiliar na elaboração de DOE com objetivo de melhorar robustez dos métodos analíticos/ desenvolvimento de produtos. Superior Completo em Estatística ou Matemática.Desejável Pós-graduação na área.Inglês Intermediário/ Avançado.,2019-07-31T20:59:59-0300,estatístico
15315110,Estatístico Trainee,Goiania,GO,"De R$ 1.001,00 a R$ 2.000,00",1,2019-09-16,Profissional,Auxiliar na análise de custo de mercadoria e produtos; envolvendo a aplicação de custos diretos e/ou descontos especiais; formação de preço de venda; impostos recuperáveis e não recuperáveis e participa na definição de política. Auxilia na elaboração de relatórios sobre pesquisa de mercado e desempenho de preços. Ensino Superior em Estatística; Economia; Matemática e Engenharia.,2019-08-05T20:59:59-0300,estatístico
15364996,Estatístico,Belo Horizonte,MG,A Combinar,1,2019-09-16,Profissional,"Planejar; organizar e realizar pesquisas e análises estatísticas. Identificar objeto de pesquisa; programar e coordenar as fases do trabalho de coleta de dados e organizar cronograma de cumprimento dos prazos. Planejar e executar tarefas de tabulação dos dados estatísticos; codificação e concentração de dados em quadros; gráficos e outras outras formas de exposição. Analisar e interpretar os dados estatísticos e determinação dos fenômenos. Fazer relatório de análise e redigir informações sobre questões de metodologia; planejamento; execução e resultado das investigações. Apresentar os resultados de pesquisa. Ensino Superior em Estatística. Conhecimento no pacote MS Office. Conhecimento software SPSS. Conhecimento Microsoft ACCESS. Conhecimento do software ""R"" avançado.",2019-08-14T20:59:59-0300,estatístico
15373912,Estatístico,Campinas,SP,"De R$ 5.001,00 a R$ 6.000,00",1,2019-09-16,Profissional,Desenvolvimento de estudos e análises de alta complexidade. Compreensão e desenvolvimento de modelos preditivos. Construção de indicadores. Análise e estudos em bases específicas conforme demanda. Acompanhamento de dados qualitativos e quantitativos. Manipulação e extração de base de dados. Desenvolvimento de relatórios em ferramentas de visualização de dados. Automatização e aprimoramento de processos. Graduação Superior completa em Estatística. Experiência com manipulação dados. Experiência em trabalhar com grandes volumes de dados. Domínio em Software. Domínio em Excel.,2019-09-10T20:59:59-0300,estatístico
15411355,Estatístico - Dados,São Paulo,SP,"R$ 3.200,00",1,2019-09-16,Profissional,As principais atividades desenvolvidas são paginação de cadernos; elaboração e utilização de planilhas em Excel; criação de formulários e atualização e adição de informação no MS Access. Elaboração de cartazes em CorelDraw. Formatação de documentos; impressão de listas e suporte a computadores da empresa. Necessário bons conhecimentos em MS Excel e MS Access e MS Word. Ensino Superior concluído ou cursando a área de estatística ou correlatos.,2019-08-23T20:59:59-0300,estatístico
15512432,Estatístico Júnior,Belo Horizonte,MG,A Combinar,1,2019-09-16,Profissional,Elaborar programação nos pacotes estatísticos provendo resultados e indicadores solicitados. Realizar compilação e extração de dados específicos. Dar suporte a equipe técnica nos projetos. Gerar relatórios das análises feitas do Banco de Dados. Efetuar os seguintes estudos: Cálculos de análise de reajuste dos contratos coletivos das operadoras de planos de saúde. Diagnóstico de Carteira avaliando indicadores estatísticos das Operadora. Estudos de projeção do aumento dos custos assistenciais. Acompanhar os indicadores divulgados no mercado e pela ANS. Pesquisas e desenvolvimento para a execução de trabalhos técnicos. Ensino Superior em Estatística. Conhecimento em SQL; Conhecimento com pacotes estatísticos; tal como SAS; STATA ou R. Compreender os resultados disponibilizados pela extração no Banco de Dados. Conhecimento intermediário do MS Office (Word; Excel; Access e PowerPoint). Habilidade em raciocínio lógico e analítico. Ser dinâmico sabendo operar com diversas tarefas. Boa redação e oratória.,2019-09-13T20:59:59-0300,estatístico
